ident,latitude_deg,longitude_deg,term
UAUU,53.2069,63.5503,z
CJU7,53.185,-108.789,z
CJV8,53.1725,-99.3231,z
UWPP,53.1106,45.0211,z
EIBR,53.0706,-7.8983,z
CZSJ,53.0642,-93.3444,z
CEQ3,53.0403,-112.816,z
CFF9,53.0314,-112.778,z
CYQZ,53.0261,-122.51,z
EGXY,53.0228,-0.9111,z
CJH8,53.0167,-106.75,z
CNM5,53.0125,-89.8553,z
CJD3,52.9908,-105.445,z
CEX3,52.965,-113.411,z
CYWK,52.9219,-66.8644,z
CFU8,52.9122,-111.174,z
CFR2,52.9,-112.55,z
EIHN,52.855,-6.5472,z
CJV2,52.8314,-109.64,z
CJV7,52.7086,-88.5419,z
UUOL,52.7028,39.5378,z
CJZ7,52.6667,-94.4167,z
EIKK,52.6508,-7.2961,z
CKK2,52.65,-104.867,z
CEA5,52.6469,-111.384,z
CKD2,52.6197,-103.248,z
CCP4,52.5281,-56.2861,z
UMGG,52.527,31.0167,z
CEG3,52.4883,-113.712,z
CJD2,52.4833,-105.717,z
CJL9,52.4631,-107.377,z
CJR9,52.4114,-104.484,z
CEH6,52.3381,-110.279,z
CEJ3,52.31,-112.754,z
CFB3,52.3,-114.464,z
UASP,52.195,77.0739,z
CJU4,52.1761,-105.127,z
CYXE,52.1708,-106.7,z
CYPU,52.1128,-124.145,z
CKE2,52.0667,-104.267,z
CJF8,52.0511,-107.988,z
CJK9,51.95,-102.65,z
CKS7,51.9294,-103.8338,z
CJP2,51.9269,-109.129,z
EGBJ,51.8942,-2.1672,z
CSF3,51.8886,-65.715,z
CFK6,51.85,-114.067,z
CKC6,51.8453,-104.992,z
EGFE,51.8331,-4.9611,z
UUOO,51.8142,39.2296,z
UWOO,51.7958,55.4567,z
CFN7,51.7742,-114.677,z
CFZ5,51.7398,-114.6626,z
CZML,51.7361,-121.333,z
CJT2,51.7322,-96.9344,z
CEN3,51.6967,-113.209,z
CAV3,51.6425,-121.307,z
CKJ4,51.6242,-106.442,z
CKQ9,51.62,-96.8108,z
CPS5,51.6044,-88.5822,z
UASB,51.591,75.215,z
CGB2,51.5828,-114.052,z
CJN2,51.5597,-101.879,z
CEG4,51.4964,-112.749,z
UHBS,51.455,128.0983,z
CBG2,51.4294,-121.21,z
CKU5,51.35,-105.4,z
CED3,51.3342,-110.491,z
EGKB,51.3308,0.0325,z
CKX5,51.3306,-107.438,z
CYMO,51.2911,-80.6078,z
CFC6,51.2667,-113.117,z
CYQV,51.2647,-102.462,z
CKB7,51.2344,-101.393,z
CJE7,51.1586,-98.3319,z
UARR,51.1508,51.5431,z
CJM2,51.1461,-103.426,z
CJR4,51.1442,-108.763,z
CYRL,51.0669,-93.7931,z
CJC2,51.0561,-105.838,z
CKV6,51.0167,-101.817,z
CJV9,50.9414,-102.738,z
CYEA,50.9333,-110.013,z
CJU6,50.9128,-97.3044,z
CFY4,50.9048,-113.7962,z
CED6,50.8019,-113.889,z
CJR8,50.7647,-99.4967,z
CKL9,50.7528,-104.979,z
CKF9,50.7175,-90.6836,z
CKJ9,50.7089,-103.197,z
CRB4,50.7044,-71.1625,z
CKR4,50.7033,-98.0567,z
CYZT,50.6806,-127.367,z
CTB6,50.6744,-59.3836,z
CKH8,50.6675,-104.789,z
CFY6,50.6544,-114.344,z
CJK4,50.6428,-102.1,z
CYGM,50.6281,-97.0433,z
UKLR,50.6071,26.1416,z
EBCV,50.5758,3.831,z
CRM2,50.5736,-99.3614,z
EGLA,50.4997,-4.6658,z
CKH2,50.4647,-101.554,z
CPB5,50.4611,-104.431,z
CYQR,50.4319,-104.666,z
UHBB,50.4254,127.412,z
CEX9,50.4194,-113.541,z
UHKK,50.409,136.934,z
CJP7,50.3967,-95.735,z
CJY5,50.3961,-100.425,z
CYMJ,50.3303,-105.559,z
UAUR,50.3186,66.9528,z
CYYN,50.2919,-107.691,z
CYYW,50.2903,-88.9097,z
CJU5,50.2719,-99.7631,z
CAQ5,50.2664,-117.813,z
CYZV,50.2233,-66.2656,z
CYQN,50.1828,-86.6964,z
CJB5,50.1686,-101.644,z
CJR5,50.1636,-98.9425,z
CYXL,50.1139,-91.9053,z
CKD5,50.0992,-102.607,z
CJU3,50.0964,-98.5008,z
EGDR,50.0861,-5.2557,z
CJK5,50.0578,-108.49,z
ETOU,50.0498,8.3254,z
CEN6,50.0333,-112.083,z
CCI9,50.0203,-124.984,z
LKPD,50.0134,15.7386,z
CEJ4,50.0047,-113.63,z
VCCK,5.9937,80.3203,z
FEFO,5.958,15.637,z
WBKS,5.9009,118.059,z
FEGM,5.694,22.801,z
FEGI,5.683,20.05,z
HAKL,5.657,44.35,z
DGAA,5.6052,-0.1668,z
WMAL,5.5387,102.195,z
FKKU,5.5369,10.3546,z
FKAO,5.5042,14.0983,z
SVYI,5.4583,-65.8983,z
SVRQ,5.4333,-66.1342,z
FEGB,5.433,27.217,z
DNIM,5.4271,7.206,z
WMKN,5.3826,103.103,z
WMKP,5.2971,100.277,z
SYKW,5.2833,-58.05,z
WBKH,5.0878,119.094,z
SJLO,5.0842,-60.3789,z
DNPO,5.0155,6.9496,z
CJZ2,49.9925,-98.3031,z
CKF6,49.9667,-98.75,z
CKA8,49.9244,-97.5489,z
CYWG,49.91,-97.2399,z
CBR2,49.9036,-116.935,z
CJQ4,49.8958,-109.475,z
CKQ7,49.8797,-93.4364,z
CKN5,49.8689,-103.445,z
CJM4,49.8662,-106.5711,z
CYPW,49.8342,-124.5,z
CED5,49.8267,-112.185,z
CYQK,49.7883,-94.3631,z
CKR7,49.7847,-100.956,z
CYGQ,49.7783,-86.9394,z
CYMT,49.7719,-74.5281,z
CYNM,49.7617,-77.8028,z
CJN4,49.7347,-105.947,z
CYHF,49.7142,-83.6861,z
CEY3,49.7,-113.417,z
ZMMN,49.6633,100.099,z
CTN6,49.6597,-98.6653,z
CKC9,49.6464,-104.666,z
CJQ3,49.6444,-102.287,z
CYYM,49.6364,-114.094,z
CKU2,49.6311,-98.6664,z
CRP2,49.5806,-101.053,z
CJJ2,49.55,-99.3333,z
CJB3,49.5494,-96.6794,z
CJT8,49.5092,-97.8506,z
CKK7,49.4939,-96.6989,z
CFD4,49.4831,-111.494,z
CJS7,49.4803,-98.015,z
CYYF,49.4631,-119.602,z
CKF2,49.4606,-104.272,z
CAP3,49.4606,-123.719,z
CKJ2,49.4531,-97.4225,z
CKT5,49.45,-100.55,z
CJH4,49.445,-106.932,z
CKS6,49.41,-103.144,z
CKD7,49.4083,-97.9906,z
CKC8,49.4003,-98.6925,z
CKM2,49.39,-93.9953,z
